Transaction_ID,Customer_ID,Transaction_Date,Amount,Merchant_Category,Transaction_Type,Location,Fraud_Status
363f09ec-c9f4-473d-80a3-b15f0cf1546b,4945,11/1/2023,3126.09,Electronics,POS,Atlanta,Genuine
8272bacf-59ac-4918-ac54-30bb91996934,8090,9/27/2023,4759.05,Travel,ATM Withdrawal,Miami,Genuine
c729efad-e771-4077-9e63-261b926c89c8,7025,10/30/2024,1923.8,Utilities,Chip Transaction,Chicago,Genuine
c5a6d673-f1f9-42a6-bcbe-ea509ee9c021,1324,4/20/2024,2892.15,Clothing,Chip Transaction,Atlanta,Genuine
b2bca0f2-018d-461e-9ccc-7600c86ce284,5415,10/8/2023,2784.08,Restaurants,Online,Atlanta,Genuine
82ab7012-2af8-4199-b586-294b06f4f804,8023,5/14/2023,2120.2,Travel,Chip Transaction,New York,Genuine
05ddfc3a-f6c4-41a5-8c22-6d81ec1d31c0,6476,9/22/2023,3439.01,Gas Stations,Contactless,Denver,Genuine
fcb8f4d0-5131-43a8-93c5-9c077c5c3669,7887,6/13/2023,17.61,Utilities,Online,Atlanta,Genuine
419b0a78-703f-4c57-a04f-9fb915b76d61,9334,1/31/2024,199.6,Electronics,Chip Transaction,Seattle,Genuine
d34adaf4-9751-47d6-88b1-f043f452cf4d,9597,4/13/2024,2055.23,Entertainment,Chip Transaction,Seattle,Genuine
fa0e549e-fa02-4ada-b97e-ed9488ef1f5d,2148,10/8/2024,891.57,Healthcare,Online,Miami,Genuine
0869d68c-8d08-4421-a32c-7ad526a515ae,2140,6/11/2024,1225.07,Entertainment,POS,Chicago,Genuine
c0fcd322-3ff7-41ef-8151-f3553904f2bf,7388,11/11/2023,3714.64,Healthcare,Online,Denver,Genuine
da509b6c-cabf-443f-ac54-4f6f110135a2,9080,4/28/2024,1758.29,Healthcare,ATM Withdrawal,Boston,Genuine
015ba34d-6be1-42d4-ac25-505e250348a0,8959,11/9/2024,518.54,Groceries,POS,Chicago,Genuine
47c753b7-eda2-42e4-b41c-a324516e5362,2181,9/8/2024,1582.28,Restaurants,Online,New York,Genuine
029c5222-cf5e-4064-9a37-04ad3d622039,1179,5/17/2024,2022.32,Entertainment,Online,Seattle,Genuine
ff4515f4-8148-47ba-8303-dec110fa5853,4548,12/20/2023,2330.39,Restaurants,Chip Transaction,Chicago,Genuine
8e870521-a606-4ebe-acaf-b82015a94f2a,4525,9/24/2024,576.51,Online Shopping,Online,San Francisco,Genuine
2487bec5-dc50-4339-aeef-aea27df29090,7469,3/13/2023,2380.46,Travel,Online,San Francisco,Genuine
c9763fc5-5b0f-4481-af91-b8164ee3557e,5641,7/25/2024,4947.92,Restaurants,Contactless,Seattle,Genuine
a4780ac8-65de-48cf-ba31-ff94c33e30e9,9281,8/13/2024,3966.36,Restaurants,POS,Los Angeles,Genuine
18093182-df27-4f51-9323-54aac2134a2d,3646,1/18/2025,3787.25,Restaurants,POS,Chicago,Genuine
414c0a44-d749-407c-866a-ab47383fd6dd,7250,5/1/2023,4021.32,Online Shopping,Contactless,Los Angeles,Genuine
792c5407-3b95-4350-a75e-b0e835de40c2,2196,5/19/2024,4235.2,Restaurants,Contactless,Miami,Genuine
744481d2-53af-44f9-8209-0e5b78dc9228,2970,9/30/2023,1583.55,Restaurants,ATM Withdrawal,Chicago,Genuine
2f66238b-fb7d-482c-97a2-13f2d2b717bd,1641,12/4/2023,179.08,Clothing,ATM Withdrawal,New York,Genuine
6bff49ac-aa5d-4ff5-adf0-c62fc0dcdd88,4291,2/12/2023,3446.31,Clothing,Chip Transaction,Miami,Genuine
4d67430d-b3a9-46fd-b224-008cf0926ef8,2563,7/8/2023,4025.1,Groceries,POS,Los Angeles,Genuine
f5dab780-f77b-4c24-85dd-5649a9617cec,1484,10/11/2023,3842.45,Entertainment,Contactless,San Francisco,Genuine
fcf6e46f-b1ab-4be5-b11a-7d7927901828,2405,10/23/2023,2742.35,Utilities,Chip Transaction,Boston,Genuine
2746e7c0-f67b-4417-b27c-888ec1605728,6097,6/7/2023,1085.37,Groceries,Contactless,Houston,Genuine
61e8b24e-9dac-40a3-b064-b9ee433dc5d3,3685,1/8/2024,2252.62,Travel,Online,Los Angeles,Genuine
76ff8cfc-c361-4b81-807d-eb9a6fdcc135,6125,5/2/2023,3322.18,Online Shopping,Contactless,Seattle,Genuine
d294afec-0fda-49e5-a6c2-f4a5dd18f5c7,5628,12/19/2023,1960.17,Utilities,Online,San Francisco,Genuine
23074e94-42fe-43ea-b2ad-e6dabe62bb11,6766,3/15/2023,3310.4,Groceries,Chip Transaction,Denver,Fraudulent
9a902d3c-45f4-4a28-9db9-d7ebef7c1a3f,4506,9/22/2023,4801.85,Clothing,Chip Transaction,San Francisco,Genuine
89616b82-bef6-4851-a59e-88c821cf95e4,7568,3/14/2023,4100.82,Entertainment,Chip Transaction,Chicago,Fraudulent
60ac2db5-a0a2-40d6-968e-4af2a40a6ce8,7661,7/21/2024,364.98,Healthcare,ATM Withdrawal,Atlanta,Genuine
b60a3e19-f665-41a5-910f-20f91a616084,9415,2/15/2024,3847.65,Gas Stations,POS,Miami,Genuine
90650437-b0a3-44ed-95d3-f9a1ad5c092a,9220,11/8/2023,398.57,Electronics,Chip Transaction,Chicago,Genuine
077af632-c1b1-4dce-81c1-6b3bfc239018,1629,6/18/2023,2775.44,Travel,POS,Boston,Genuine
21a6d212-180d-4d37-b1d4-badeb075bca6,7983,3/22/2024,4456.24,Entertainment,ATM Withdrawal,San Francisco,Genuine
6f1ad71b-f72c-4dae-a8e7-811b4ce70463,2862,12/14/2024,577.65,Healthcare,Chip Transaction,Los Angeles,Genuine
3739db29-f201-46b5-b321-20e63adb49a3,1404,5/18/2023,291.69,Utilities,Chip Transaction,Chicago,Genuine
cb95f413-7ef4-4940-9337-ddd0ef3f6ba7,1525,7/8/2023,1094.39,Clothing,Online,San Francisco,Genuine
8773202a-276c-42bd-b22b-cd03cb1b56a1,6838,9/19/2023,3712.94,Utilities,ATM Withdrawal,Miami,Genuine
dbf954d2-f82c-4d71-b9ee-7042586b1153,2207,2/4/2025,2341.89,Gas Stations,POS,Houston,Genuine
875cdac0-d7c9-4b11-8f84-f6f2bd4de928,1411,1/17/2025,977.67,Groceries,ATM Withdrawal,Los Angeles,Genuine
9d7353df-f3f5-4f32-a3c7-3f245eb27527,1186,7/23/2023,2607.03,Healthcare,Online,Miami,Genuine
5ab3e48f-7377-4143-945c-41db70939f99,5339,12/12/2023,3627.72,Utilities,ATM Withdrawal,New York,Genuine
160ea71b-f805-4296-8d1f-66969a571d10,9835,4/13/2024,1494.99,Healthcare,Online,Los Angeles,Genuine
b1acea3c-0ad0-48e2-ab49-4c8ec3a11b65,8205,8/2/2024,3561.81,Clothing,Online,New York,Genuine
9a632fb7-ad83-485e-aedc-7e0ed9462d63,9532,3/8/2023,2842.62,Online Shopping,POS,Miami,Genuine
d36d2b60-b898-4533-bf0c-3f2be211bb1c,9365,2/9/2024,449.61,Groceries,Online,Atlanta,Genuine
ccd2e96f-43e3-45bb-bc5a-edccc0d83a62,3320,12/14/2024,1225.17,Utilities,ATM Withdrawal,Chicago,Genuine
3412b677-46c6-47a5-a0ca-7ff7bbd8c591,1922,9/18/2023,3886.32,Clothing,Online,Seattle,Genuine
